,0,1,2
0,1e-05,1e-05,1e-05
1,1e-05,1e-05,0.2
2,1e-05,1e-05,0.4
3,1e-05,1e-05,0.6
4,1e-05,1e-05,0.8
5,1e-05,1e-05,1.0
6,1e-05,1e-05,1.2
7,1e-05,1e-05,1.4
8,1e-05,1e-05,1.6
9,1e-05,1e-05,1.8
10,1e-05,1e-05,2.0
11,1e-05,0.1,1e-05
12,1e-05,0.1,0.2
13,1e-05,0.1,0.4
14,1e-05,0.1,0.6
15,1e-05,0.1,0.8
16,1e-05,0.1,1.0
17,1e-05,0.1,1.2
18,1e-05,0.1,1.4
19,1e-05,0.1,1.6
20,1e-05,0.1,1.8
21,1e-05,0.1,2.0
22,1e-05,0.2,1e-05
23,1e-05,0.2,0.2
24,1e-05,0.2,0.4
25,1e-05,0.2,0.6
26,1e-05,0.2,0.8
27,1e-05,0.2,1.0
28,1e-05,0.2,1.2
29,1e-05,0.2,1.4
30,1e-05,0.2,1.6
31,1e-05,0.2,1.8
32,1e-05,0.2,2.0
33,1e-05,0.3,1e-05
34,1e-05,0.3,0.2
35,1e-05,0.3,0.4
36,1e-05,0.3,0.6
37,1e-05,0.3,0.8
38,1e-05,0.3,1.0
39,1e-05,0.3,1.2
40,1e-05,0.3,1.4
41,1e-05,0.3,1.6
42,1e-05,0.3,1.8
43,1e-05,0.3,2.0
44,1e-05,0.4,1e-05
45,1e-05,0.4,0.2
46,1e-05,0.4,0.4
47,1e-05,0.4,0.6
48,1e-05,0.4,0.8
49,1e-05,0.4,1.0
50,1e-05,0.4,1.2
51,1e-05,0.4,1.4
52,1e-05,0.4,1.6
53,1e-05,0.4,1.8
54,1e-05,0.4,2.0
55,1e-05,0.5,1e-05
56,1e-05,0.5,0.2
57,1e-05,0.5,0.4
58,1e-05,0.5,0.6
59,1e-05,0.5,0.8
60,1e-05,0.5,1.0
61,1e-05,0.5,1.2
62,1e-05,0.5,1.4
63,1e-05,0.5,1.6
64,1e-05,0.5,1.8
65,1e-05,0.5,2.0
66,1e-05,0.6,1e-05
67,1e-05,0.6,0.2
68,1e-05,0.6,0.4
69,1e-05,0.6,0.6
70,1e-05,0.6,0.8
71,1e-05,0.6,1.0
72,1e-05,0.6,1.2
73,1e-05,0.6,1.4
74,1e-05,0.6,1.6
75,1e-05,0.6,1.8
76,1e-05,0.6,2.0
77,1e-05,0.7,1e-05
78,1e-05,0.7,0.2
79,1e-05,0.7,0.4
80,1e-05,0.7,0.6
81,1e-05,0.7,0.8
82,1e-05,0.7,1.0
83,1e-05,0.7,1.2
84,1e-05,0.7,1.4
85,1e-05,0.7,1.6
86,1e-05,0.7,1.8
87,1e-05,0.7,2.0
88,1e-05,0.8,1e-05
89,1e-05,0.8,0.2
90,1e-05,0.8,0.4
91,1e-05,0.8,0.6
92,1e-05,0.8,0.8
93,1e-05,0.8,1.0
94,1e-05,0.8,1.2
