,0,1,2
0,-0.2,-0.2,-0.2
1,-0.2,-0.2,-0.175
2,-0.2,-0.2,-0.15
3,-0.2,-0.2,-0.125
4,-0.2,-0.2,-0.1
5,-0.2,-0.2,-0.075
6,-0.2,-0.2,-0.05
7,-0.2,-0.2,-0.025
8,-0.2,-0.2,0
9,-0.2,-0.2,0.025
10,-0.2,-0.2,0.05
11,-0.2,-0.2,0.075
12,-0.2,-0.2,0.1
13,-0.2,-0.2,0.125
14,-0.2,-0.2,0.15
15,-0.2,-0.2,0.175
16,-0.2,-0.2,0.2
17,-0.2,-0.2,0.225
18,-0.2,-0.2,0.25
19,-0.2,-0.2,0.275
20,-0.2,-0.2,0.3
21,-0.2,-0.175,-0.2
22,-0.2,-0.175,-0.175
23,-0.2,-0.175,-0.15
24,-0.2,-0.175,-0.125
25,-0.2,-0.175,-0.1
26,-0.2,-0.175,-0.075
27,-0.2,-0.175,-0.05
28,-0.2,-0.175,-0.025
29,-0.2,-0.175,0
30,-0.2,-0.175,0.025
31,-0.2,-0.175,0.05
32,-0.2,-0.175,0.075
33,-0.2,-0.175,0.1
34,-0.2,-0.175,0.125
35,-0.2,-0.175,0.15
36,-0.2,-0.175,0.175
37,-0.2,-0.175,0.2
38,-0.2,-0.175,0.225
39,-0.2,-0.175,0.25
40,-0.2,-0.175,0.275
41,-0.2,-0.175,0.3
42,-0.2,-0.15,-0.2
43,-0.2,-0.15,-0.175
44,-0.2,-0.15,-0.15
45,-0.2,-0.15,-0.125
46,-0.2,-0.15,-0.1
47,-0.2,-0.15,-0.075
48,-0.2,-0.15,-0.05
49,-0.2,-0.15,-0.025
50,-0.2,-0.15,0
51,-0.2,-0.15,0.025
52,-0.2,-0.15,0.05
53,-0.2,-0.15,0.075
54,-0.2,-0.15,0.1
55,-0.2,-0.15,0.125
56,-0.2,-0.15,0.15
57,-0.2,-0.15,0.175
58,-0.2,-0.15,0.2
59,-0.2,-0.15,0.225
60,-0.2,-0.15,0.25
61,-0.2,-0.15,0.275
62,-0.2,-0.15,0.3
63,-0.2,-0.125,-0.2
64,-0.2,-0.125,-0.175
65,-0.2,-0.125,-0.15
66,-0.2,-0.125,-0.125
67,-0.2,-0.125,-0.1
68,-0.2,-0.125,-0.075
69,-0.2,-0.125,-0.05
70,-0.2,-0.125,-0.025
71,-0.2,-0.125,0
72,-0.2,-0.125,0.025
73,-0.2,-0.125,0.05
74,-0.2,-0.125,0.075
75,-0.2,-0.125,0.1
76,-0.2,-0.125,0.125
77,-0.2,-0.125,0.15
78,-0.2,-0.125,0.175
79,-0.2,-0.125,0.2
80,-0.2,-0.125,0.225
81,-0.2,-0.125,0.25
82,-0.2,-0.125,0.275
83,-0.2,-0.125,0.3
84,-0.2,-0.1,-0.2
85,-0.2,-0.1,-0.175
86,-0.2,-0.1,-0.15
87,-0.2,-0.1,-0.125
88,-0.2,-0.1,-0.1
89,-0.2,-0.1,-0.075
90,-0.2,-0.1,-0.05
91,-0.2,-0.1,-0.025
92,-0.2,-0.1,0
93,-0.2,-0.1,0.025
94,-0.2,-0.1,0.05
95,-0.2,-0.1,0.075
96,-0.2,-0.1,0.1
97,-0.2,-0.1,0.125
98,-0.2,-0.1,0.15
99,-0.2,-0.1,0.175
100,-0.2,-0.1,0.2
101,-0.2,-0.1,0.225
102,-0.2,-0.1,0.25
103,-0.2,-0.1,0.275
104,-0.2,-0.1,0.3
105,-0.2,-0.075,-0.2
106,-0.2,-0.075,-0.175
107,-0.2,-0.075,-0.15
108,-0.2,-0.075,-0.125
109,-0.2,-0.075,-0.1
110,-0.2,-0.075,-0.075
111,-0.2,-0.075,-0.05
112,-0.2,-0.075,-0.025
113,-0.2,-0.075,0
114,-0.2,-0.075,0.025
115,-0.2,-0.075,0.05
116,-0.2,-0.075,0.075
117,-0.2,-0.075,0.1
118,-0.2,-0.075,0.125
119,-0.2,-0.075,0.15
120,-0.2,-0.075,0.175
121,-0.2,-0.075,0.2
122,-0.2,-0.075,0.225
123,-0.2,-0.075,0.25
124,-0.2,-0.075,0.275
125,-0.2,-0.075,0.3
126,-0.2,-0.05,-0.2
127,-0.2,-0.05,-0.175
128,-0.2,-0.05,-0.15
129,-0.2,-0.05,-0.125
130,-0.2,-0.05,-0.1
131,-0.2,-0.05,-0.075
132,-0.2,-0.05,-0.05
133,-0.2,-0.05,-0.025
134,-0.2,-0.05,0
135,-0.2,-0.05,0.025
136,-0.2,-0.05,0.05
137,-0.2,-0.05,0.075
138,-0.2,-0.05,0.1
139,-0.2,-0.05,0.125
140,-0.2,-0.05,0.15
141,-0.2,-0.05,0.175
142,-0.2,-0.05,0.2
143,-0.2,-0.05,0.225
144,-0.2,-0.05,0.25
145,-0.2,-0.05,0.275
146,-0.2,-0.05,0.3
147,-0.2,-0.025,-0.2
148,-0.2,-0.025,-0.175
149,-0.2,-0.025,-0.15
150,-0.2,-0.025,-0.125
151,-0.2,-0.025,-0.1
152,-0.2,-0.025,-0.075
153,-0.2,-0.025,-0.05
154,-0.2,-0.025,-0.025
155,-0.2,-0.025,0
156,-0.2,-0.025,0.025
157,-0.2,-0.025,0.05
158,-0.2,-0.025,0.075
159,-0.2,-0.025,0.1
160,-0.2,-0.025,0.125
161,-0.2,-0.025,0.15
162,-0.2,-0.025,0.175
163,-0.2,-0.025,0.2
164,-0.2,-0.025,0.225
165,-0.2,-0.025,0.25
166,-0.2,-0.025,0.275
167,-0.2,-0.025,0.3
168,-0.2,0,-0.2
169,-0.2,0,-0.175
170,-0.2,0,-0.15
171,-0.2,0,-0.125
172,-0.2,0,-0.1
173,-0.2,0,-0.075
174,-0.2,0,-0.05
175,-0.2,0,-0.025
176,-0.2,0,0
177,-0.2,0,0.025
178,-0.2,0,0.05
179,-0.2,0,0.075
180,-0.2,0,0.1
181,-0.2,0,0.125
182,-0.2,0,0.15
183,-0.2,0,0.175
184,-0.2,0,0.2
185,-0.2,0,0.225
186,-0.2,0,0.25
187,-0.2,0,0.275
188,-0.2,0,0.3
189,-0.2,0.025,-0.2
190,-0.2,0.025,-0.175
191,-0.2,0.025,-0.15
192,-0.2,0.025,-0.125
193,-0.2,0.025,-0.1
194,-0.2,0.025,-0.075
195,-0.2,0.025,-0.05
196,-0.2,0.025,-0.025
197,-0.2,0.025,0
198,-0.2,0.025,0.025
199,-0.2,0.025,0.05
200,-0.2,0.025,0.075
201,-0.2,0.025,0.1
202,-0.2,0.025,0.125
203,-0.2,0.025,0.15
204,-0.2,0.025,0.175
205,-0.2,0.025,0.2
206,-0.2,0.025,0.225
207,-0.2,0.025,0.25
208,-0.2,0.025,0.275
209,-0.2,0.025,0.3
210,-0.2,0.05,-0.2
211,-0.2,0.05,-0.175
212,-0.2,0.05,-0.15
213,-0.2,0.05,-0.125
214,-0.2,0.05,-0.1
215,-0.2,0.05,-0.075
216,-0.2,0.05,-0.05
217,-0.2,0.05,-0.025
218,-0.2,0.05,0
219,-0.2,0.05,0.025
220,-0.2,0.05,0.05
221,-0.2,0.05,0.075
222,-0.2,0.05,0.1
223,-0.2,0.05,0.125
224,-0.2,0.05,0.15
225,-0.2,0.05,0.175
226,-0.2,0.05,0.2
227,-0.2,0.05,0.225
228,-0.2,0.05,0.25
229,-0.2,0.05,0.275
230,-0.2,0.05,0.3
231,-0.2,0.075,-0.2
232,-0.2,0.075,-0.175
233,-0.2,0.075,-0.15
234,-0.2,0.075,-0.125
235,-0.2,0.075,-0.1
236,-0.2,0.075,-0.075
237,-0.2,0.075,-0.05
238,-0.2,0.075,-0.025
239,-0.2,0.075,0
240,-0.2,0.075,0.025
241,-0.2,0.075,0.05
242,-0.2,0.075,0.075
243,-0.2,0.075,0.1
244,-0.2,0.075,0.125
245,-0.2,0.075,0.15
246,-0.2,0.075,0.175
247,-0.2,0.075,0.2
248,-0.2,0.075,0.225
249,-0.2,0.075,0.25
250,-0.2,0.075,0.275
251,-0.2,0.075,0.3
252,-0.2,0.1,-0.2
253,-0.2,0.1,-0.175
254,-0.2,0.1,-0.15
255,-0.2,0.1,-0.125
256,-0.2,0.1,-0.1
257,-0.2,0.1,-0.075
258,-0.2,0.1,-0.05
259,-0.2,0.1,-0.025
260,-0.2,0.1,0
261,-0.2,0.1,0.025
262,-0.2,0.1,0.05
263,-0.2,0.1,0.075
264,-0.2,0.1,0.1
265,-0.2,0.1,0.125
266,-0.2,0.1,0.15
267,-0.2,0.1,0.175
268,-0.2,0.1,0.2
269,-0.2,0.1,0.225
270,-0.2,0.1,0.25
271,-0.2,0.1,0.275
272,-0.2,0.1,0.3
273,-0.2,0.125,-0.2
274,-0.2,0.125,-0.175
275,-0.2,0.125,-0.15
276,-0.2,0.125,-0.125
277,-0.2,0.125,-0.1
278,-0.2,0.125,-0.075
279,-0.2,0.125,-0.05
280,-0.2,0.125,-0.025
281,-0.2,0.125,0
282,-0.2,0.125,0.025
283,-0.2,0.125,0.05
284,-0.2,0.125,0.075
285,-0.2,0.125,0.1
286,-0.2,0.125,0.125
287,-0.2,0.125,0.15
288,-0.2,0.125,0.175
289,-0.2,0.125,0.2
290,-0.2,0.125,0.225
291,-0.2,0.125,0.25
292,-0.2,0.125,0.275
293,-0.2,0.125,0.3
294,-0.2,0.15,-0.2
295,-0.2,0.15,-0.175
